LOC_ID,site,land_cover,temp,temp_seas,land_temp,precip,precip_seas,water_dist,WDPA,closed_prop,open_prop,other_prop,ID.x,hum_pop,log_hum_pop,ID.y,slope,rough_range,ID,clay
Site 11,KOJ,11,16.21666718,59.40360641,26.58420753,666,52.03824234,2938.399414,4,0.109014808,0.87769921,0.013285982,245,649,6.476972363,245,13.55691477,18.85684018,245,35.56140351
Site 12,KOJ,2,16.59583282,63.94098663,27.75136948,688,53.72699356,2458.592773,4,0.594708625,0.38987406,0.015417314,246,614,6.421622268,246,14.46457295,20.32291385,246,35.39655172
Site 13,KOJ,11,17.17083359,65.52093506,28.64602089,733,58.56718826,1087.722168,4,0.324909633,0.661297482,0.013792885,247,578,6.361302478,247,7.955604105,10.9306764,247,33.37931034
Site 14,KOJ,11,17.20416641,64.61276245,28.64602089,722,58.15716934,298.820282,4,0.025910186,0.964321959,0.009767855,248,613,6.419994928,248,3.164690742,4.272649906,248,31.81034483
Site 15,KOJ,2,17.16666603,63.54428864,29.20079422,716,57.38680267,249.0168915,4,0.172454254,0.810674531,0.016871214,249,688,6.535241271,249,3.832130202,5.118264155,249,31.49152542
Site 16,KOJ,2,17.22500038,65.34871674,28.8931179,735,59.00844574,624.0345459,4,0.510765133,0.464216634,0.025018233,250,719,6.579251212,250,3.004118429,4.048308568,250,33.44827586
Site 17,KOJ,11,17.08749962,64.46017456,28.67263603,719,57.07461548,607.9276733,4,0.15468527,0.829300777,0.016013953,251,617,6.426488457,251,3.505818057,4.737849676,251,33.87931034
Site 18,KOJ,11,16.91250038,63.14215088,27.71730804,711,56.22312546,2131.677734,4,0.069661995,0.919367113,0.010970892,252,574,6.354370041,252,4.847629992,6.595717631,252,33.06779661
Site 19,KOJ,11,16.25416565,60.69514847,26.58420753,678,52.25553513,3136.031494,4,0.02815651,0.951296848,0.020546642,253,596,6.391917113,253,16.46745145,23.35008437,253,35.18181818
Site 21,KOJ,11,17.62916756,61.550354,30.3902607,798,59.71708679,3346.105225,NA,0.033585995,0.919539501,0.046874504,254,1331,7.194436851,254,3.084712539,4.117521118,254,32.55172414
Site 22,KOJ,11,17.62083244,61.73470688,30.3902607,794,59.76558304,2361.856689,4,0.118991756,0.872511097,0.008497146,255,1331,7.194436851,255,3.173275574,4.256354353,255,32.31147541
Site 23,KOJ,11,17.86666679,61.24961472,30.95729065,814,60.84007263,828.8933716,4,0.000539084,0.998509593,0.000951324,256,1184,7.077498054,256,3.21533456,4.259393525,256,32.5
Site 24,KOJ,2,17.95000076,62.15816498,31.01605225,817,60.81637192,816.8361816,4,0.115106545,0.871385084,0.013508371,257,1098,7.002155954,257,3.373374623,4.534160839,257,28.41071429
Site 25,KOJ,11,18.11666679,62.13376999,30.83857155,827,61.30479813,268.1994019,4,0.000475692,0.998604636,0.000919671,258,1043,6.950814768,258,3.293826749,4.457781431,258,28.20689655
Site 26,KOJ,11,18.17916679,62.86558914,31.23322105,828,62.3176384,981.0128174,4,0.018452173,0.977394502,0.004153324,259,1022,6.930494766,259,3.097763064,4.169585076,259,27.05172414
Site 27,KOJ,11,18.27499962,62.64982986,31.17495346,835,63.47894669,1136.783203,4,0.107936709,0.877286996,0.014776295,260,988,6.896694332,260,3.103022783,4.135603915,260,24.10909091
Site 28,KOJ,11,17.94166565,62.00562668,31.11437225,811,60.8640976,1517.982178,4,0.031678082,0.908358701,0.059963217,261,1114,7.016609684,261,2.665446789,3.527142752,261,33.10344828
Site 29,KOJ,11,17.83749962,61.94297791,30.81459236,804,60.51706696,2139.227539,4,0.000665906,0.999048706,0.000285388,262,1288,7.161622003,262,2.991436798,3.937894677,262,31.68965517
Site 31,KOJ,11,17.14583397,63.7986145,29.75725365,698,57.03765488,1045.870972,4,0.170826066,0.799365784,0.02980815,263,703,6.556778356,263,5.216280151,7.044294787,263,29.98275862
Site 32,KOJ,11,17.42916679,64.82348633,29.12705803,740,60.18357468,99.60675812,4,0.04690027,0.922593943,0.030505787,264,684,6.529418838,264,3.679045553,4.990953008,264,30.18181818
Site 34,KOJ,2,16.41666603,61.69327164,28.00821495,654,52.34818649,2340.758789,4,0.322298326,0.648179858,0.029521816,265,720,6.580639137,265,13.89538514,19.4221414,265,34.72413793
Site 35,KOJ,2,16.61249924,62.34527206,27.54437828,682,53.9275322,3136.031494,4,0.242397336,0.735531949,0.022070715,266,695,6.54534966,266,14.59476581,20.66298904,266,34.65517241
Site 36,KOJ,11,16.85416603,62.35740662,28.72098923,685,56.46743011,3279.846436,4,0.164103377,0.826034565,0.009862058,267,813,6.701960366,267,11.64881437,16.12446573,267,32.94915254
Site 37,KOJ,11,16.64999962,60.8649826,28.62859154,666,54.2093277,2506.550049,4,0.185176963,0.797919574,0.016903463,268,826,6.717804695,268,12.24482026,17.16216956,268,33.85454545
Site 38,KOJ,11,17.42083359,64.2246933,29.74479675,734,60.66568756,1298.713135,4,0.122843734,0.854261796,0.02289447,269,802,6.688354714,269,10.05589405,13.9662144,269,30.5862069
Site 41,KOJ,11,18.08749962,61.90626144,31.05462456,809,62.62096786,760.2155762,4,0.109296721,0.844283087,0.046420192,270,1027,6.935370446,270,2.987287379,3.996471929,270,26
Site 42,KOJ,11,18.17916679,62.8656044,31.52786064,806,63.61600113,1197.35437,4,0.104173273,0.885488679,0.010338048,271,911,6.81563999,271,2.73817951,3.605333196,271,22.15517241
Site 43,KOJ,11,18.29999924,64.27922821,31.90846252,817,64.93357849,1323.308594,4,0.183363461,0.798401674,0.018234865,272,808,6.695798917,272,2.591624283,3.422350494,272,21.03508772
Site 44,KOJ,11,18.32500076,64.36755371,31.98983383,815,64.49089813,1534.235107,4,0.168976123,0.821764911,0.009258966,273,767,6.643789733,273,2.298219684,3.061606111,273,21.18965517
Site 47,KOJ,11,18.36666679,62.96943283,31.90739632,823,64.18678284,1172.2323,4,0.000602505,0.998985254,0.00041224,274,755,6.628041376,274,3.043756839,4.05388048,274,20.96551724
Site 48,KOJ,11,18.39999962,64.17304993,31.81039619,833,65.2284317,1050.603394,4,0.203063069,0.779877604,0.017059327,275,803,6.689599269,275,2.958825998,3.950006717,275,22.03448276
Site 50,KOJ,11,18.09583282,61.58726501,30.84112167,813,62.52584839,637.7944336,4,0.009421393,0.89645984,0.094118767,276,1003,6.9117473,276,3.484062877,4.731282766,276,25.55172414
Site 51,KOJ,11,17.65833282,64.06079865,30.23326302,739,61.06385422,398.4270325,4,0.360445205,0.599822425,0.039732369,277,796,6.680854679,277,3.527843614,4.781968308,277,26.55172414
Site 52,KOJ,11,17.62916756,65.06843567,29.74479675,750,61.88905334,582.9335938,4,0.58270164,0.39097339,0.026324971,278,836,6.72982407,278,5.397308779,7.495672838,278,29
Site 54,KOJ,2,17.78333282,65.79351807,30.22942924,752,63.23404694,1197.35437,4,0.536175342,0.44675992,0.017064738,279,1007,6.915723449,279,5.980416169,8.221729429,279,25.9122807
Site 55,KOJ,6,17.85833359,64.80157471,30.52030754,761,63.58254623,362.5740662,4,0.552800152,0.417644447,0.029555401,280,838,6.732210706,280,2.969985904,3.994132773,280,25.93103448
Site 56,KOJ,2,17.72500038,64.78986359,30.89958954,736,61.94611359,1008.441589,4,0.292594002,0.675733942,0.031672056,281,794,6.678342115,281,4.055993116,5.499570031,281,24.18965517
Site 53,KOJ,11,17.39166641,64.62596893,29.21819687,723,59.55828094,1534.235107,4,0.866239614,0.117111689,0.016648697,282,873,6.773080376,282,9.408901549,13.25763607,282,30.74137931
Site 60,KOJ,11,17.54166603,63.27548218,30.34247589,761,60.77794266,149.410141,4,0.021848739,0.9494847,0.028666561,283,842,6.736966958,283,4.227956813,5.674395828,283,29.20689655
Site 62,KOJ,11,17.41250038,63.53686142,29.90274239,752,59.74345398,834.8566895,NA,0.181466447,0.79963212,0.018901433,284,955,6.862757913,284,4.558739009,6.206088038,284,32.24137931
Site 63,KOJ,11,17.54999924,63.60388565,30.22513199,761,59.42556763,157.4921112,4,0.000285479,0.994353867,0.005360655,285,1108,7.011213987,285,2.778921289,3.757513619,285,31.28571429
Site 64,KOJ,11,17.58749962,63.39361572,30.7890625,767,60.1737442,1328.919922,4,0.000380518,0.999397514,0.000221969,286,1245,7.127693699,286,2.91562361,3.894602481,286,31.63934426
Site 65,KOJ,11,17.64583397,62.17490768,30.83189011,778,59.92814636,1307.279419,4,0,1,0,287,1327,7.19142933,287,2.608417293,3.490410228,287,30.1754386
Site 67,KOJ,11,17.59166718,63.13166046,30.34526062,789,60.24810791,2819.504639,4,0,1,0,288,1374,7.22620901,288,3.051777037,4.041124073,288,33.41818182
Site 68,KOJ,11,17.51666641,63.11366272,30.34526062,785,60.68420792,1937.217041,4,0.004090304,0.994356015,0.001553681,289,1154,7.051855623,289,3.200654298,4.264021527,289,33.9122807
Site 70,KOJ,11,17.59583282,63.76298904,29.66242409,800,60.2158699,2539.972412,4,0.002156471,0.975581137,0.022262392,290,1477,7.298445102,290,2.584616073,3.369150512,290,35.43103448
Site 71,KOJ,11,17.8125,64.49542999,31.14147568,762,62.3931427,1915.974243,4,0.048103754,0.944000507,0.007895738,291,776,6.65544035,291,2.878492964,3.804044459,291,30.06896552
Site 72,KOJ,7,17.83749962,62.8896904,31.11395264,763,62.04960251,1751.635132,4,0.252830548,0.73077289,0.016396562,292,862,6.760414691,292,3.115900144,4.11507758,292,27.9137931
Site 73,KOJ,11,17.97500038,63.15565491,31.11395264,790,63.92447281,1685.239136,4,0.384588552,0.583193277,0.03221817,293,1004,6.91274282,293,2.531692426,3.394718828,293,26.44642857
Site 74,KOJ,11,18.15833282,62.84300995,31.28874969,814,64.14076233,529.4171753,4,0.076008371,0.896594368,0.02739726,294,1013,6.921658184,294,2.410748972,3.217175129,294,24.98275862
Site 75,KOJ,11,18.13333321,63.61581039,31.84018326,807,63.93727875,1064.674561,4,0.116035762,0.868841545,0.015122694,295,890,6.792344427,295,2.739881567,3.598771767,295,23.47368421
Site 76,KOJ,11,17.96666718,63.36522293,31.70761299,782,63.46244049,1693.314819,4,0.318863557,0.653327837,0.027808606,296,932,6.838405201,296,2.856481364,3.808229396,296,23.96551724
Site 78,KOJ,11,17.90833282,62.95138168,31.6947422,767,62.56406021,556.8186646,4,0.012528546,0.972849531,0.014621923,297,611,6.416732283,297,2.455580603,3.221458283,297,27.81034483
Site 79,KOJ,11,17.89999962,63.2095871,31.64687538,764,62.61136246,512.7572021,4,0.255121456,0.709868713,0.035009831,298,714,6.572282543,298,2.772621548,3.664351486,298,27.70909091
Site 80,KOJ,11,18.125,64.93004608,32.32273865,782,64.19117737,740.3804321,4,0.063175922,0.916653452,0.020170626,299,603,6.403574198,299,2.630838328,3.495384464,299,25.54385965
Site 81,KOJ,11,18.04166603,63.09564972,32.11178589,773,63.03328323,1095.674316,4,0.130509227,0.84380747,0.025683303,300,553,6.317164687,300,2.966051727,4.004356703,300,24.40350877
Site 82,KOJ,11,18.28333282,63.6872139,31.90846252,816,65.26568604,425.5202332,4,0.066759697,0.919317497,0.013922806,301,803,6.689599269,301,2.502641217,3.294682647,301,22.21052632
Site 86,KOJ,11,18.20000076,65.01748657,32.55630112,795,64.83222961,1026.7229,4,0.005072923,0.992263792,0.002663285,302,578,6.361302478,302,2.75367203,3.659516853,302,25.30357143
